ID	NAME	PARENT	FILE
67957	Rhododraparnaldia	173442	276
111860	Balbiania	173442	276
29247	Rhodymeniales	2806	276
748682	Fryeellaceae	29247	276
38332	Hymenocladiopsis	748682	276
81604	Fryeella	748682	276
748683	Pseudohalopeltis	748682	277
31501	Rhodymeniaceae	29247	277
2794	Rhodymenia	31501	277
81591	Chrysymenia	31501	277
38328	Cordylecladia	31501	277
81595	Coelarthrum	31501	277
38326	Botryocladia	31501	277
748560	Microphyllum	31501	277
81610	Irvinea	31501	277
368083	Drouetia	31501	277
1827012	unclassified Rhodymeniaceae	31501	278
39622	Cephalocystis	31501	278
81612	Leptosomia	31501	278
39627	Erythrocolon	31501	278
81616	Sparlingia	31501	278
81608	Gloiosaccion	31501	278
42796	Rhodymeniocolax	31501	278
42801	Faucheocolax	31501	278
1074215	Cresia	31501	278
38334	Halichrysis	31501	278
557872	Chamaebotrys	31501	279
42013	Epymenia	31501	279
1798820	Sciadophycus	31501	279
748723	Halopeltis	31501	279
479264	Coelothrix	31501	279
261723	Maripelta	31501	279
522305	unclassified Rhodymeniales	29247	279
31498	Lomentariaceae	29247	279
38330	Ceratodictyon	31498	279
31499	Lomentaria	31498	279
81606	Gelidiopsis	31498	280
81614	Semnocarpa	31498	280
406724	Stirnia	31498	280
1582915	Binghamiopsis	31498	280
31497	Champiaceae	29247	280
81593	Chylocladia	31497	280
81597	Dictyothamnion	31497	280
1583062	Neogastroclonium	31497	280
2772	Gastroclonium	31497	280
39625	Champia	31497	280
1827019	Minium	29247	281
81601	Faucheaceae	29247	281
81618	Webervanbossea	81601	281
397495	Gloiocladia	81601	281
319518	Leptofauchea	81601	281
81602	Faucheopsis	81601	281
42018	Gloioderma	81601	281
748726	Hymenocladiaceae	29247	281
81599	Erythrymenia	748726	281
81589	Asteromenia	748726	281
91059	Hymenocladia	748726	282
31364	Bonnemaisoniales	2806	282
31365	Bonnemaisoniaceae	31364	282
31368	Bonnemaisonia	31365	282
31366	Asparagopsis	31365	282
38528	Ptilonia	31365	282
38530	Delisea	31365	282
680464	Leptophyllis	31365	282
902696	unclassified Bonnemaisoniales	31364	282
173448	Naccariaceae	31364	282
367043	Reticulocaulis	173448	283
999066	unclassified Naccariaceae	173448	283
173449	Atractophora	173448	283
291392	Naccaria	173448	283
31361	Ahnfeltiales	2806	283
902691	unclassified Ahnfeltiales	31361	283
